codigo_curso;codigo_ies;sigla_ies;nome_ies
3;374;FMU;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS
3;3985;SENACSP;CENTRO UNIVERSITÁRIO SENAC
3;5387;IMPACTA;FACULDADE IMPACTA
3;417;UNICID;UNIVERSIDADE CIDADE DE SÃO PAULO
3;4104;ESEG;ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG
3;55;USP;UNIVERSIDADE DE SÃO PAULO
3;206;UNIÍTALO;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO
3;319;UB;UNIVERSIDADE BRASIL
3;376;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO
3;1294;CAM;Centro Universitário das Américas
3;322;UNIP;UNIVERSIDADE PAULISTA
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;456;UNISANT'ANNA;CENTRO UNIVERSITÁRIO SANT´ANNA
3;466;UAM;UNIVERSIDADE ANHEMBI MORUMBI
3;376;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;376;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;852;;FIAP - Centro Universitário
3;322;UNIP;UNIVERSIDADE PAULISTA
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU
3;55;USP;UNIVERSIDADE DE SÃO PAULO
3;1294;CAM;Centro Universitário das Américas
3;20586;FVG;Faculdade Van Gogh
3;1365;UNASP;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO
3;376;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO
3;1161;;INSPER INSTITUTO DE ENSINO E PESQUISA
3;793;ESTÁCIO SÃO PAULO;Centro Universitário Estácio de São Paulo
3;161;UNIFAI;CENTRO UNIVERSITÁRIO ASSUNÇÃO
3;793;ESTÁCIO SÃO PAULO;Centro Universitário Estácio de São Paulo
3;1853;;Centro Universitário UNIBTA
3;793;ESTÁCIO SÃO PAULO;Centro Universitário Estácio de São Paulo
